time, filename, train_acc, test_acc, train_f1, test_f1, n
25-04-2020 19:13:17, subset_50-0-50.txt, 0.9195, 0.8885, 0.7199, 0.6359, 10
25-04-2020 20:10:41, subset_100-0-0.txt, 0.9165, 0.9314, 0.4548, 0.4527, 10
25-04-2020 20:15:19, subset_-1-0-0.txt, 0.9147, 0.9142, 0.4539, 0.4444, 3
27-04-2020 11:28:53, subset_0-3-0.txt, 0.9774, 0.7314, 0.9629, 0.6918, 5
27-04-2020 11:44:58, subset_100-0-0.txt, 0.9270, 0.9285, 0.9133, 0.8783, 10
27-04-2020 11:45:53, subset_5-0-5.txt, 0.9774, 0.9028, 0.9774, 0.9028, 5
27-04-2020 11:47:08, subset_10-5-10.txt, 0.9661, 0.9000, 0.9661, 0.9000, 10
27-04-2020 11:48:33, subset_0-50-0.txt, 0.9360, 0.7914, 0.9222, 0.7486, 10
27-04-2020 11:49:39, subset_10-50-0.txt, 0.9300, 0.9028, 0.9162, 0.8540, 10
27-04-2020 12:27:17, subset_0-0-100.txt, 0.8669, 0.8314, 0.8669, 0.8314, 10
27-04-2020 12:30:39, subset_10-5-10.txt, 0.9691, 0.8971, 0.9691, 0.8971, 10
27-04-2020 12:32:39, subset_0-5-0.txt, 0.9699, 0.7942, 0.9555, 0.7513, 5
27-04-2020 12:34:25, subset_100-0-0.txt, 0.9661, 0.9171, 0.9518, 0.8675, 10
27-04-2020 12:37:41, subset_100-0-0.txt, 1.0, 0.8857, 0.9851, 0.8378, 10
27-04-2020 12:39:25, subset_100-0-0.txt, 0.8962, 0.9028, 0.8829, 0.8540, 10
Mon Apr 27 17:14:57 2020, subset_-1-0-0.txt, 0.8897, 0.8857, 0.4415, 0.4306, 3